,Fabrikalar,Mudur_Sayisi,Mudur_Maasi,Mudur_Puani,Calisan_Sayisi,Calisan_Maasi,Calisan_Puani,Satis_Pazarlama_Mudur_Sayisi,Satis_Pazarlama_Mudur_Puani,Satis_Pazarlama_Mudur_Maasi,Satis_Pazarlama_Calisan_Eleman_Sayisi,Satis_Pazarlama_Calisan_Eleman_Puani,Satis_Pazarlama_Calisan_Eleman_Maasi,Makine_Maaliyeti,Calisan_Mesai,Mola_Suresi,Makine_Sayisi,Makine_Haftalik_Bakim,Makine_Bakim_Ucreti,Veri_Analizi_Mudur_Sayisi,Veri_Analizi_Mudur_Puani,Veri_Analizi_Mudur_Maasi,Veri_Analizi_Calisan_Sayisi,Veri_Analizi_Calisan_Puani,Veri_Analizi_Calisan_Maasi,Depo_Sayisi,Isci_Memnuniyeti,Lojistik_Sayisi,Lojistik_Puani,Ortalama_Calisma_Suresi,Uretim_Hizi,Uretim_Miktari,Urun_Hata_Orani,Fabrika_Giderleri,Urun_Basi_Maliyet,Urun_Basi_Kar,Urun_Min_Satis_Fiyati,Urun_Max_Satis_Fiyati,Hammadde_Cesidi,Kaucuk_Alis_Fiyati,Kaucuk_Satis_Fiyati,Kaucuk_Kalitesi,Motorsiklet_Lastik_Performansi,Traktor_Lastik_Performansi,Bisiklet_Lastik_Performansi,SUV_Lastik_Performansi,Yazlik_Lastik_Performansi,Dort_Mevsim_Lastik_Performansi,Kislik_Lastik_Performansi,Lastik_Capi,Lastik_Agirligi,Lastik_Ebati,Kuru_Zemin_Fren,Islak_Zemin_Fren,Karli_Zemin_Fren,Konfor,Viraj_Donus_Puan,Yol_Temasi,Direksiyon_Hakimiyeti,Yakit_Tuketimi,Yuk_Endeksi,Off_Road_Uygunlugu,Sirt_Deseni,Gurultu,Asinma,Centik_Sayisi
32,Fabrika 33,8,9.630,8,6691,6597,5,14,9,14996,6873,9,5841,126466,5,32,4975,3,5120,10,10,18840,4829,10,14279,26,6,29,8,46,10,391933,5,709849,61,89,216,703,1,44558,43092,10,6,5,10,10,10,8,5,13,6,6,8,8,9,8,9,8,7,9,6,5,8,7,9,5
33,Fabrika 34,13,12.142,8,5142,6486,8,15,8,11937,7181,5,5079,330259,7,44,7287,2,6921,6,10,17398,4595,10,11070,43,8,48,8,44,5,322580,4,735807,37,105,210,596,2,38047,38802,8,5,6,9,8,9,6,6,20,6,8,10,6,6,9,10,5,9,10,6,8,9,10,10,10
34,Fabrika 35,14,10.622,9,5066,5838,6,11,7,9200,5685,5,5124,392187,8,41,7427,2,5652,7,10,15827,4510,10,10134,35,9,36,6,43,10,294474,4,879572,80,99,218,469,1,42458,39225,5,7,5,9,8,7,6,7,12,6,8,9,9,5,5,10,5,9,8,8,7,7,7,10,6
35,Fabrika 36,11,8.650,5,5774,6415,7,9,8,10981,7127,8,6710,332837,10,43,5435,3,5280,5,10,19901,7465,10,10944,47,7,34,10,44,8,196763,4,761573,42,102,205,842,1,39400,36413,5,7,9,10,6,7,7,7,14,6,7,5,6,6,8,6,7,10,7,5,7,8,6,8,6
36,Fabrika 37,10,10.184,8,4588,6302,6,9,8,9184,5505,9,6813,201467,7,35,6262,3,6783,9,10,17337,6161,10,9514,21,9,47,9,48,5,464209,3,733992,33,89,221,604,3,36605,41672,8,6,7,7,5,10,10,7,15,6,7,8,8,6,6,10,6,5,9,6,9,10,6,5,5
37,Fabrika 38,8,9.595,10,5699,4723,5,13,5,11556,4998,5,5799,213254,17,48,5078,2,4532,10,10,18302,5249,10,10223,49,9,39,8,35,10,123876,4,896055,39,70,210,520,1,40757,41907,5,8,7,5,7,6,10,5,17,6,5,5,8,8,10,9,6,7,10,5,10,10,9,6,8
38,Fabrika 39,11,10.691,6,5007,7215,9,15,10,12892,6553,5,4547,376233,18,48,4848,3,7308,8,10,19375,4725,10,14035,40,5,34,5,42,7,291417,1,619538,48,68,211,757,3,35005,37082,5,6,9,7,10,6,6,5,20,6,7,5,7,7,10,8,7,9,8,6,9,8,5,10,8
39,Fabrika 40,7,14.595,6,6525,5728,5,14,8,8695,6729,5,6358,255695,19,48,5654,3,5060,5,10,15905,4828,10,8395,38,5,28,6,40,6,465739,1,774200,75,117,225,911,1,39730,39124,10,8,5,9,10,8,7,7,15,6,5,5,5,5,5,10,10,9,9,9,10,7,6,9,8
40,Fabrika 41,11,11.002,9,5253,7182,5,7,7,13093,6096,10,6359,261393,19,32,6497,3,5202,5,10,15974,7140,10,12265,20,7,25,9,35,8,145110,4,627901,72,105,221,909,1,41700,36690,10,7,10,6,9,7,7,7,19,6,9,8,10,7,6,9,6,5,7,5,5,5,6,5,10
41,Fabrika 42,14,9.747,10,4647,6313,10,10,10,9960,4850,8,6773,207931,10,41,5226,2,5489,7,10,19853,6149,10,13798,20,8,44,5,47,5,203304,5,608130,78,88,209,854,1,35438,41546,6,9,8,7,9,8,5,6,13,6,6,9,6,10,8,10,8,5,5,6,5,7,9,6,8
42,Fabrika 43,11,12.607,7,5104,5391,5,12,9,7524,7057,7,4864,401318,18,29,7480,2,7143,10,10,15374,5159,10,8432,53,5,28,10,37,7,152383,1,999716,45,97,207,752,1,44281,35703,8,9,10,8,7,5,5,10,14,6,7,8,9,7,6,6,7,5,10,5,5,5,10,9,10
43,Fabrika 44,12,10.753,5,6336,7432,9,9,7,7717,6115,8,5104,378476,7,39,4863,3,6437,6,10,18556,5901,10,11778,44,6,34,5,39,6,167548,1,840428,46,111,234,693,3,35181,41762,8,7,8,5,7,7,6,6,17,6,8,10,5,5,9,9,8,5,10,9,8,7,8,7,5
44,Fabrika 45,8,14.223,5,6172,7081,9,7,7,13136,6868,8,6270,375894,17,34,6690,2,4945,6,10,16405,5527,10,12835,43,8,37,7,42,6,207947,2,859086,72,81,205,681,3,42973,44795,7,7,10,9,9,5,8,8,12,6,6,9,7,9,10,9,9,5,8,10,5,9,10,9,6
45,Fabrika 46,14,10.490,6,5613,6402,10,10,10,8647,6034,5,6050,317484,11,42,5645,2,5223,6,10,16607,6113,10,14925,31,5,29,10,33,8,241800,4,978601,43,73,238,802,1,36814,39731,9,6,5,9,6,9,10,7,15,6,8,6,9,9,6,9,5,9,8,5,6,9,6,6,9
46,Fabrika 47,7,13.459,7,7231,7454,5,11,10,7843,5648,6,5862,227939,16,48,5616,2,5725,8,10,17617,7127,10,10517,48,6,37,7,43,5,468244,1,643412,42,84,233,775,3,43481,38288,8,9,10,5,5,10,6,7,13,6,8,8,6,5,6,5,10,7,8,5,10,10,6,9,6
47,Fabrika 48,7,7.968,6,6392,6852,5,12,10,13778,7179,6,6054,389121,12,41,7057,2,4699,8,10,19631,7345,10,12825,38,6,34,9,36,8,417481,3,658739,72,114,202,746,1,43847,43559,9,9,5,6,6,7,6,6,19,6,7,9,5,8,9,6,10,8,7,6,8,8,9,7,5
48,Fabrika 49,10,13.444,7,4777,7152,8,15,5,10292,6012,6,6714,236582,12,46,6496,2,7132,10,10,18801,5870,10,12087,36,9,28,6,39,8,158231,2,601322,70,91,228,900,2,36305,37485,9,6,10,10,5,7,7,5,15,6,8,9,10,8,10,6,9,9,10,8,6,7,8,7,6
49,Fabrika 50,9,14.904,5,6179,6353,8,9,7,12466,5286,5,4643,289170,21,28,7357,3,5909,7,10,19733,5743,10,14783,44,6,49,6,50,6,182020,4,521345,41,97,221,835,1,35080,40842,7,6,5,6,9,7,5,10,17,6,10,7,10,9,7,7,6,6,10,6,9,7,10,7,6
50,Fabrika 51,9,13.659,6,5513,6470,10,8,6,10516,6731,7,5468,418234,7,32,5395,2,5875,10,10,18577,6395,10,12522,20,6,43,6,46,5,136157,2,656991,75,62,216,760,1,44735,43377,9,6,5,10,6,5,9,10,18,6,7,8,6,6,9,5,10,8,6,5,7,8,8,5,6
51,Fabrika 52,13,7.558,10,5478,6457,8,7,6,9094,6092,7,5500,474646,21,39,4775,3,7411,9,10,18592,5547,10,14753,49,7,42,9,32,5,114670,5,847382,80,62,209,506,2,43091,40842,10,6,5,5,8,5,5,6,19,6,9,7,10,8,9,10,10,6,6,10,9,7,9,5,10
52,Fabrika 53,15,12.163,8,6409,6368,10,10,9,11070,5338,8,5937,112976,13,46,5767,3,6167,7,10,16800,5626,10,7872,29,5,28,5,44,5,394148,2,759650,50,67,222,577,2,36951,35063,5,6,9,7,8,6,5,10,15,6,9,8,7,6,9,6,6,8,10,8,7,5,9,7,8
53,Fabrika 54,12,9.062,8,6363,7273,6,14,9,11968,5014,6,6546,304742,6,45,5984,2,4654,10,10,15409,5484,10,8538,38,10,38,6,39,8,102238,4,950712,69,102,223,560,2,39876,41113,5,10,10,9,6,6,9,9,15,6,5,9,9,9,7,10,6,6,9,10,9,6,9,7,7
54,Fabrika 55,11,7.850,7,5006,5262,10,9,7,8053,6500,10,7469,482383,5,33,5923,3,6383,5,10,19987,4569,10,14422,44,9,31,9,36,7,324266,4,941135,38,119,236,797,3,36823,36778,6,8,9,7,6,9,10,5,18,6,6,5,7,7,10,10,8,5,6,7,6,9,10,10,6
55,Fabrika 56,10,12.677,8,5387,7060,5,10,8,13163,5905,10,6224,470453,3,50,6617,2,6251,9,10,19224,5506,10,12162,43,10,36,7,40,8,102115,5,935467,75,90,208,863,1,41556,38014,8,10,9,9,7,10,7,7,19,6,10,10,7,9,5,7,9,9,7,10,7,8,5,5,10
56,Fabrika 57,11,12.520,9,7035,6039,5,11,9,9932,4828,8,7262,334409,9,29,5190,2,6725,9,10,15207,5312,10,12351,59,8,42,7,38,6,262165,5,873338,77,92,231,705,2,40402,43057,5,5,10,6,5,8,8,10,12,6,9,8,7,6,10,6,10,5,5,10,8,10,7,5,5
57,Fabrika 58,7,12.816,6,6166,7304,5,11,5,12155,5192,9,6449,464785,16,44,4871,3,6524,5,10,16691,6356,10,11519,31,6,28,8,31,10,232621,1,544418,25,84,203,693,2,44817,44899,6,7,7,5,9,10,10,6,15,6,8,7,6,6,5,8,5,9,10,6,7,9,8,9,6
58,Fabrika 59,11,12.777,5,6551,6878,6,10,9,14733,5606,5,6985,206381,22,32,7121,3,6433,10,10,19209,7138,10,11557,45,7,34,5,29,5,279284,3,949591,77,78,230,827,3,39792,37939,6,7,9,8,9,7,9,5,16,6,5,6,8,8,6,9,7,6,8,8,9,10,9,7,10
59,Fabrika 60,15,10.031,10,7416,6665,6,10,9,13625,7415,6,5200,136936,19,46,5243,3,6385,10,10,18762,5703,10,11504,31,6,32,10,31,8,282457,3,579571,47,111,219,924,2,41054,38135,8,7,6,7,8,10,10,8,16,6,6,6,7,9,6,6,10,10,6,6,5,10,8,6,9
60,Fabrika 61,11,10.396,9,5089,5343,10,9,7,12289,7186,8,4859,381841,22,40,6622,2,5498,6,10,16516,5652,10,11107,28,7,43,7,29,8,343475,4,618680,27,111,206,454,3,44843,39032,6,6,6,10,10,8,5,5,13,6,8,7,8,6,8,7,7,9,6,6,9,9,8,8,5
61,Fabrika 62,9,11.232,6,5035,5018,8,15,9,13367,4500,7,7342,101603,22,30,7454,3,7031,9,10,17170,5527,10,7618,36,7,43,5,29,10,283735,2,726411,44,112,204,728,2,43497,38227,7,8,10,5,6,10,7,7,17,6,6,6,8,9,8,8,5,9,9,7,8,5,9,7,5
62,Fabrika 63,15,13.110,9,4732,7202,8,13,7,14737,5646,5,7459,466316,10,38,6923,3,6370,9,10,16626,6293,10,12569,21,9,27,5,47,6,259435,1,963858,43,73,229,782,1,35453,42925,9,7,7,7,9,8,10,10,18,6,5,7,6,7,5,9,6,9,8,6,8,7,9,5,8
63,Fabrika 64,15,10.104,9,6197,6315,6,13,6,12943,5762,5,4778,294715,10,28,4726,2,4819,5,10,19929,6823,10,14685,50,7,44,9,26,7,379534,1,892359,57,92,237,744,2,35104,35503,10,10,10,6,7,6,8,5,18,6,5,10,5,5,10,6,6,10,7,5,10,9,8,6,9
64,Fabrika 65,13,13.050,7,4934,6026,6,12,7,8793,6683,9,6343,446775,21,49,5219,3,6704,7,10,18443,7069,10,10063,27,10,28,5,26,8,437445,4,744011,40,114,227,944,2,41935,37279,5,9,6,6,9,6,7,5,20,6,5,7,6,8,7,8,5,8,9,9,9,9,7,5,8
65,Fabrika 66,14,13.396,9,7283,4696,6,15,6,13413,5812,8,6303,161600,9,39,5100,3,4746,6,10,16156,5319,10,11450,34,9,30,8,47,7,325649,3,550714,40,86,231,922,3,38452,35833,10,9,7,10,9,9,7,8,13,6,6,8,5,5,7,5,10,7,7,9,7,5,7,9,6
66,Fabrika 67,14,9.577,7,6983,4704,5,15,7,8153,6663,7,6056,165940,16,26,7282,3,6413,7,10,15366,5033,10,7899,25,6,29,9,50,6,488817,2,737807,39,95,237,747,2,43037,36089,9,9,7,10,9,10,8,8,17,6,5,6,7,7,10,5,5,5,7,9,8,8,7,10,8
67,Fabrika 68,14,8.327,10,5086,7135,5,9,10,11971,4631,8,5851,361386,11,41,6467,2,5438,5,10,18867,5424,10,13595,38,5,45,6,35,10,299093,4,530989,73,62,222,948,2,35417,44859,6,6,7,7,5,8,8,6,12,6,5,8,10,10,7,9,7,6,10,6,7,8,7,6,10
68,Fabrika 69,14,10.687,9,6896,5254,8,11,10,14074,5422,10,6652,440965,12,48,5772,3,5591,7,10,18542,7171,10,9006,56,8,31,5,40,8,482382,2,627829,20,80,208,857,3,38743,40770,5,7,7,9,5,7,6,7,17,6,6,5,5,8,5,10,5,8,8,6,9,9,5,10,5
69,Fabrika 70,11,10.790,8,5987,5802,5,12,6,9394,5680,8,6130,369212,7,49,7339,3,7357,8,10,17231,5213,10,11312,46,5,35,6,48,9,394643,3,787290,56,62,221,476,2,36479,38193,9,7,5,10,7,8,7,10,15,6,8,8,7,7,8,5,8,7,6,9,9,7,9,5,6
70,Fabrika 71,9,13.332,5,5699,7347,5,9,8,9615,6575,9,6079,483093,20,46,6795,2,5313,6,10,18149,7080,10,9974,56,7,32,9,32,10,126815,4,888595,43,67,216,807,3,42467,36072,8,7,6,5,9,7,9,7,14,6,7,9,7,6,5,6,10,7,9,6,8,5,8,8,9
71,Fabrika 72,11,9.980,5,6116,4709,10,11,9,8616,4951,5,5654,143857,8,27,4722,2,6106,7,10,17245,5103,10,9517,44,9,33,7,49,9,408077,1,799613,65,82,212,522,3,40560,41677,10,10,8,10,5,9,5,10,15,6,8,5,5,5,10,9,5,8,10,7,10,5,6,10,6
72,Fabrika 73,9,9.958,5,7349,7041,7,8,9,9285,4773,6,5871,126094,18,33,5787,2,5393,9,10,19582,4962,10,12373,52,9,33,5,40,5,210940,2,760620,77,84,211,842,3,42772,39738,6,10,10,5,10,9,6,6,12,6,8,9,8,9,10,9,9,7,7,5,6,7,5,8,6
73,Fabrika 74,8,9.294,8,5497,6569,8,11,8,12291,4547,6,6617,105955,21,45,6274,3,6014,6,10,17371,4927,10,10713,51,5,26,8,30,8,407895,5,694226,37,99,212,663,2,44378,35551,6,6,10,9,10,8,5,10,18,6,8,10,8,8,9,10,9,7,10,7,10,9,5,8,7
74,Fabrika 75,11,12.224,10,4913,4526,8,8,10,8113,6127,5,5282,230145,12,27,7275,2,5011,8,10,16541,4695,10,7775,32,7,28,5,41,9,249925,2,724618,79,76,235,617,3,43569,38694,7,5,6,6,8,8,7,5,19,6,10,5,10,10,9,8,6,5,6,6,6,7,10,9,6
75,Fabrika 76,8,11.516,5,6796,6494,5,13,5,13880,5547,6,5878,135243,6,41,6875,2,4599,10,10,17015,5288,10,7826,50,6,26,7,44,8,378666,5,566845,71,79,217,895,1,40149,37462,5,6,6,9,8,8,7,8,19,6,9,9,8,7,7,9,10,10,8,5,6,5,10,5,7
76,Fabrika 77,12,13.605,8,6055,4940,8,11,9,10214,5227,6,5078,227946,11,31,7500,2,4561,8,10,16869,6163,10,9958,20,10,44,10,41,6,280078,5,655926,42,88,214,468,1,36578,36832,9,6,8,7,5,5,8,8,14,6,10,5,8,9,9,7,9,6,9,10,8,8,7,5,7
